name,category,type,health(100),relationship(500),money(100w),talent(500),score(160),kimoji(100),time(4年),describe
貓貓,none,CHOICE,-10,5,0,0,0,20,1,天氣也太好了吧，走了侯硐看貓貓
一日之計在於晨,none,CHOICE,-5,10,0,0,0,7,1,鼻頭角看日出拉
夕陽無限好,none,CHOICE,-7,10,0,0,0,7,1,夕陽無限好，富貴角看日落
晚上加菜(?,none,CHOICE,-5,15,0,5,0,10,2,mmm終於出太陽了，抓螃蟹摟
我想變黑(?,none,CHOICE,-5,10,0,0,0,10,2,跑去白沙灣曬太陽曬到脫皮QAQ
我需要 休息,none,CHOICE,-10,-5,0,-5,0,3,2,在家睡到翻過來
健康!跑步!,none,CHOICE,-15,10,0,15,0,-8,4,"一切都是為了健康!! ""跑""九份gogogo"
台上一分鐘,none,CHOICE,7,5,0,15,0,-5,7,準備營隊練習表演
放鬆身心,none,CHOICE,-2,10,0,5,0,15,5,打遊戲
畫畫,none,CHOICE,-5,0,0,10,0,10,4,學習畫畫，放鬆身心
好無聊，打球拉,none,CHOICE,-15,10,0,10,0,20,5,去打Play
我要成為小巨人,none,CHOICE,-20,5,0,15,0,15,6,為了變強，走了去練球
準備表演,none,CHOICE,5,5,0,15,0,-10,6,要成發拉，快去練表演
我怕鬼鬼,none,CHOICE,3,5,0,10,0,15,6,夜教好可怕嗚嗚，可是我要來扮鬼嚇人OuO(準備夜教
I'M PICKLE RICK!,none,CHOICE,-5,0,0,0,0,25,6,看Rick and Morty 看到ㄎㄧㄤ
欸要不要憶起訂netflix,none,CHOICE,-5,0,0,0,0,25,8,追追追追來追劇
拯救學分大作戰,none,CHOICE,0,0,0,0,0,-10,6,拯救學分大作戰，在家自修
我要有好身材,none,CHOICE,-15,0,-1500,15,0,20,7,我要有好身材--來去健身房
減肥要先記得活著\,none,CHOICE,10,0,0,0,0,-20,7,一天只吃一粒飯
練習C,none,CHOICE,5,0,0,5,0,-3,7,到頭來還是C最基礎阿
欸不是，要考試了欸,none,CHOICE,5,0,0,0,0,-15,7,窩想畢業--來去圖書館塔ㄘㄟˋ
學樂器,none,CHOICE,-3,0,-2000,15,0,5,4,要學甚麼呢?吉他、鋼琴、爵士鼓?都學?!
練舞,none,CHOICE,-5,2,0,5,0,7,4,跳舞....很難QQ
練車,none,CHOICE,0,2,0,2,0,5,2,上山下海
小心不要燒到,none,CHOICE,5,10,0,15,0,20,10,快點我想帥一波--來練火舞摟
讀必修科目,none,CHOICE,5,0,0,0,0,-5,12,為了學分!為了畢業!
欸你要讀碩嗎?,none,CHOICE,5,0,-1000,0,0,-15,10,為了研究所奮鬥，去補習班讀書
考個檢定,none,CHOICE,7,0,0,0,0,-10,10,準備考CPE
練習C++,none,CHOICE,5,0,0,5,0,-5,10,template 甜不辣
學Android,none,CHOICE,5,0,0,0,0,-5,10,想要輸出遊戲嗎?
定存,none,CHOICE,0,0,7000,0,0,0,10,少少的錢滾少少的錢...
學IOS,none,CHOICE,5,0,0,0,0,-5,12,我想寫個在iphone上能玩的遊戲
籌備系上活動,none,CHOICE,10,10,0,10,0,-5,14,排戲?燈棍?布置?樣樣都來OuO
練習python,none,CHOICE,5,0,0,5,0,-7,14,我要當coding大師
學投資,none,CHOICE,10,0,0,15,0,-7,14,投資一定有賺有賠
打工,none,CHOICE,10,10,20000,10,0,-5,14,快要吃土了..
實習,none,CHOICE,10,10,10000,15,0,-5,14,累積經驗
準備英檢,none,CHOICE,10,0,-700,0,0,0,15,多益要五百五...準備英檢
練習java,none,CHOICE,10,0,0,5,0,-10,14,practice makes perfect
投資股票,none,CHOICE,2,0,12000,5,0,0,15,就要買不會賠錢的阿
投資外匯,none,CHOICE,2,0,18000,5,0,0,15,要買啥呢...英鎊?日圓?美金?
挖比特幣,none,CHOICE,3,0,15000,10,0,5,15,還敢偷電挖礦阿
投資礦產,none,CHOICE,3,0,20000,5,0,0,15,石油?黃金?白銀? 我全都要
密室逃脫,none,CHOICE,0,10,0,0,0,5,2,欸不是，你要逃脫要揪人阿
織圍巾,none,CHOICE,0,10,0,5,0,0,5,親手織的圍巾，才有溫暖
逛街,none,CHOICE,-3,0,-1500,0,0,5,2,我要這雙、這雙跟這雙，還有那件、那件跟那件
看電影,none,CHOICE,0,2,0,0,0,3,1,太多選擇了不知道要看甚麼
為何而戰?,none,CHOICE,3,5,0,5,0,2,2,參加羅馬競技生死鬥
