name,category,type,health(100),relationship(500),money(100w),talent(500),score(160),kimoji(100),time(4年),describe
好痛，但你很可愛沒關西<3,none,PET,5,0,0,0,0,5,1,跟寵物玩，結果被抓傷
養寵物日常,none,PET,0,0,-1000,0,0,-5,1,不要再尿尿在地毯上了QAQ
受不了了,none,PET,0,0,0,0,0,10,1,你一直討摸摸我怎麼把持得住
WW3?,none,PET,0,0,0,0,0,-5,1,寵物到處亂跑亂跳 把房間弄噫團亂
毀了，全毀了,none,PET,0,0,-1000,0,0,-10,1,忘記買玩具給寵物，他就只好把全家當她的玩具ㄌ
陪我玩!,none,PET,0,0,0,0,0,5,1,讀書讀到一半寵物一直來蹭你
不要!!!!!,none,PET,0,0,0,0,0,-10,1,寵物看著你，然後就把桌上的東西推下去ㄌ
吸爆,none,PET,0,0,0,0,0,15,1,養寵物怎麼能不吸ㄋ
陪寵物玩?被寵物玩?,none,PET,0,0,0,5,0,10,1,拿玩具跟寵物玩，最後是自己玩得很累?
福利,none,PET,0,0,0,5,0,10,1,餵寵物吃點心，收服他ㄉ心
進化了!!,none,PET,0,0,0,7,0,12,3,我的孩子終於長大了
悲劇QAQ,none,PET,0,0,0,-5,0,-5,1,忘記餵寵物，他餓到離家出走
生病了,none,PET,0,0,0,0,0,-5,2,寵物生病ㄌ，帶她去看醫生
樂極生悲,none,PET,3,0,0,0,0,5,1,跟寵物大玩特玩，玩到受傷
太溫暖了,none,PET,0,0,0,0,0,7,1,寵物跑過來跟你窩著睡覺
洗香香,none,PET,0,0,0,3,0,2,1,幫寵物洗澡
我成功了!!,none,PET,0,0,0,0,0,5,1,抱寵物發現他不會怕了!!
我就看看,none,PET,0,0,0,0,0,5,1,帶寵物出門，看著他跑跑跳跳
訓練寵物,none,PET,0,0,0,5,0,10,5,陪寵物訓練才藝。握手，乖
陪寵物交心,none,PET,0,0,0,0,0,5,2,凝聽寵物的心聲，和牠培養感情
寵物生小孩,none,PET,0,0,0,0,0,5,3,天押她懷孕了
寵物出意外,none,PET,0,0,0,0,0,-10,2,不!!!你不能死!!
寵物mornig call,none,PET,0,0,0,0,0,3,1,我還想再睡一夏
