name,category,type,health(100),relationship(500),money(100w),talent(500),score(160),kimoji(100),time(4年),describe
乖孩子,good,RANDOM,0,0,300,0,0,0,1,幫媽媽跑腿，得到跑腿費
小幸運?!,good,RANDOM,0,0,500,0,0,5,1,在口袋找到500塊
噫好啊，我中了,good,RANDOM,0,0,10000,0,0,5,1,發票中10000?!! 是不是會被抓去請客
神奇桃花運,good,RANDOM,0,7,0,0,0,7,1,背包太可愛，被搭訕了?!
學長姐a愛,good,RANDOM,-20,15,0,20,0,15,4,學長/姊來教我打球了!!
邊緣人受到被關心,good,RANDOM,-10,10,0,0,0,10,3,同學突然來基隆找我玩
沾沾喜氣,good,RANDOM,0,5,0,0,0,3,1,室友中刮刮樂請吃飯
屬於排球人的幸運 嗎?,good,RANDOM,0,0,0,0,0,6,1,在路上撿到皮球
我是被眷顧的,good,RANDOM,-5,5,0,0,0,8,1,跟朋友去富貴角看燈塔，遇到蹭人貓貓
宅宅的心,good,RANDOM,-10,0,0,-5,0,20,6,突然發現排球少年第四季出來了
努力遇見幸福,good,RANDOM,-25,15,0,25,0,20,8,在健身房被帥哥搭訕指導了?!
沙發底下出奇跡,good,RANDOM,0,0,1000,0,0,4,1,幫媽媽整理客廳的時候在沙發底下發現了五個小朋友$$$
money money money,good,RANDOM,-10,0,5000,20,0,20,5,比賽拿第一，獲得獎金!!!
負負得正?,good,RANDOM,0,0,0,0,0,3,1,出門發現沒帶鑰匙，回到家發現也忘了鎖門
刮刮樂大獎,good,RANDOM,0,0,15000,0,0,20,1,刮刮樂居然會有200以上的獎金嘻嘻
懂買,good,RANDOM,0,0,20000,5,0,8,1,今天漲停阿!! 可以來吃大餐了
考試完拉，來摸八圈,good,RANDOM,5,-5,18000,10,0,10,2,清一色、對對和、莊家連五拉五
巧遇,good,RANDOM,0,5,0,0,0,4,2,巧遇高中同學
被老師約談了?,good,RANDOM,5,0,10000,20,0,6,6,意外跟老師變熟，被找去幫忙，也學了很多
夢想中的車車,good,RANDOM,0,0,0,0,0,3,1,刷到棉花糖了
中獎,good,RANDOM,0,0,10000,0,0,8,5,喝了快500瓶飲料阿 總算回本了
拾金不昧,good,RANDOM,0,0,5000,0,0,2,1,我是個乖孩子
挖屋太幸運了八,good,RANDOM,-20,0,0,0,0,25,14,抽到去北海道來回機票!!
休息是為了,good,RANDOM,-5,-5,0,4,0,3,1,晨練好累 我要睡覺拉
所謂朋友,good,RANDOM,0,7,-500,0,0,3,1,室友生日就是要砸蛋糕阿
桌遊競賽得獎,good,RANDOM,0,10,2000,10,0,6,4,我以為我沒什麼心機的說
沙排比賽第一,good,RANDOM,-15,5,3500,15,0,15,6,看我的太陽球!!
恩，築間,good,RANDOM,-5,5,-500,-5,0,4,1,吃築間 吃築間
資工NO.1,good,RANDOM,-15,10,0,15,0,14,4,來打海洋盃摟，資工拿冠軍
社團體驗ing,normal,RANDOM,5,30,0,20,0,15,7,體驗了一波社團生活，獲得許多初級才藝
小7打零工,normal,RANDOM,5,20,15000,20,0,0,14,賺點小錢買零食吃吃
小豬撲滿肥肥的,normal,RANDOM,0,0,5000,20,0,5,6,省吃儉用存了點小錢!!
我室友瘋了,normal,RANDOM,10,10,0,-5,0,5,2,被室友拖去九份看夜景
太強也是種罪過?,normal,RANDOM,-5,-5,-1000,5,0,3,1,扣球太猛，打爆別人眼鏡ㄌ
人情壓力阿..,normal,RANDOM,-5,10,0,10,0,2,2,被同學找去打籃球不好意思拒絕
緊張緊張,normal,RANDOM,3,5,0,15,0,10,4,社團成發
選修也是很累阿..,normal,RANDOM,4,0,0,10,0,-6,10,研讀選修科目 做作業
通識怎麼也..那麼難,normal,RANDOM,6,20,0,20,0,-8,12,做通識作業、分組報告
我想做一台夾娃娃機,normal,RANDOM,10,15,0,5,0,-10,10,資夜佈置要做不完了--熬夜做道具
所以要辦甚麼活動,normal,RANDOM,5,10,0,5,0,-5,10,加系學會了拉
我有這麼夯???,normal,RANDOM,3,10,0,5,0,3,2,路上巧遇學弟，就被拖去唱歌了?
奇妙的...緣分?,normal,RANDOM,0,5,0,0,0,-3,1,在路上被老鼠嚇到撞到人，卻交到朋友了?
意料之外的補眠,normal,RANDOM,-10,0,0,-5,0,3,1,哎呀，早八睡過頭惹嘿嘿
沒水了,normal,RANDOM,-5,15,0,0,0,2,2,忘記今天家裡停水，為了洗澡，就跑去別人家玩了(?
發揮勞作天分吧,normal,RANDOM,20,25,0,25,0,4,8,做給學長姊送舊的東東
崩潰,normal,RANDOM,-5,0,0,-10,0,-6,1,一早起床發現NBA停賽了
我的錢錢!!,normal,RANDOM,0,0,0,0,0,6,2,發現錢包不見，被好心人士撿去警局
汽車貸款,normal,RANDOM,0,5,0,5,0,2,1,接到詐騙電話，錢是沒被騙到，但卻跟他閒聊起來了
我是誰?我在哪?,normal,RANDOM,10,15,0,15,0,-12,8,突然被抓去英文讀書會
營隊,normal,RANDOM,15,10,0,25,0,-15,10,處理營隊的問題
我被選中了?,normal,RANDOM,20,10,15000,25,0,-8,14,突然被找去做實驗
意外的旅程,normal,RANDOM,5,0,0,5,0,-10,4,走錯路結果走到圖書館，就去讀書了
一切都是為了減肥,normal,RANDOM,-5,0,0,0,0,-7,1,一切都是為了減肥，拒絕消夜
宿營要場勘歐,normal,RANDOM,0,5,0,5,0,-5,2,跟著大家一起去場勘，回來寫企劃書摟
羅馬不是一天造成的,normal,RANDOM,-5,5,-1000,-10,0,3,1,好想大吃特吃阿阿阿阿，魯山人吃到飽了拉
壽星最大,normal,RANDOM,-5,10,-1000,-10,0,5,1,今天我生日拉，燒肉眾爆食
小刀未老,normal,RANDOM,-15,15,0,10,0,-5,2,OB賽來被學長姐虐
