name,category,type,health(100),relationship(500),money(100w),talent(500),score(160),kimoji(100),time(4年),describe
同學會,good,WINTER,0,5,0,0,0,2,1,跟國小同學敘舊
回母校,good,WINTER,0,5,0,0,0,2,1,回母校回憶當年
聽演講,good,WINTER,0,0,0,5,0,0,1,聽有興趣的演講
參加馬拉松,good,WINTER,-5,0,0,5,0,2,2,強!健!體!魄!
打靶,good,WINTER,0,0,0,5,0,4,2,帥氣a體驗
跳傘,good,WINTER,0,0,-5000,10,0,0,3,抱著必死的決心
家庭旅遊,good,WINTER,-3,8,0,0,0,3,3,跟家人維繫感情
讀小說,good,WINTER,0,0,0,5,0,5,5,宅在家放鬆身心
參加電競比賽,good,WINTER,0,0,0,8,0,3,5,我想為國爭光OuO
到外島旅行,good,WINTER,0,0,-3000,0,0,5,7,來去台灣最大的離島?
看極光,good,WINTER,-5,0,-20000,0,0,8,7,想親眼目睹最美的風景之一
自己做實驗,normal,WINTER,5,0,0,12,0,3,7,放假就是要做實驗阿
自學語言,normal,WINTER,3,0,0,10,0,-3,7,想出國前先訓練自己
學煮菜,normal,WINTER,0,0,0,10,0,0,7,抓住另一伴的胃，才能抓住她的心
學攝影,normal,WINTER,0,0,0,10,0,2,7,我也想拍美美的照片
當志工,normal,WINTER,8,10,0,5,0,-3,7,取之於社會，用之於社會
幫忙家裡,normal,WINTER,8,0,10000,5,0,-3,7,家長辛苦，分擔辛勞
窩想去滑雪,normal,WINTER,-2,5,-8000,10,0,5,5,來去北海道滑雪瞜
長水痘在家隔離,bad,WINTER,5,-10,0,0,0,-5,7,我不想傳染給人阿
好想玩水,bad,WINTER,5,5,0,0,0,-3,3,跟同學跑去玩水就感冒了
回不了家了...,bad,WINTER,0,5,0,0,0,-3,2,跑山不小心騎太遠沒油
