name,category,type,health(100),relationship(500),money(100w),talent(500),score(160),kimoji(100),time(4年),describe
騎車在妹妹去九份,good,SUMMER,0,5,0,0,0,4,2,騎車兜風看風景
泳渡日月潭,good,SUMMER,-10,0,0,8,0,5,3,練身體，愛台灣
潛水,good,SUMMER,-3,0,-3000,10,0,5,3,抱著被水母電歪的決心
系隊旅遊,good,SUMMER,-3,10,0,0,0,2,3,增進隊友間的情誼
去泛舟,good,SUMMER,-2,0,0,5,0,2,3,颱風天就是要泛舟阿
參加音樂祭,good,SUMMER,-2,0,0,0,0,3,3,覺醒!!
挑戰玉山,good,SUMMER,-5,0,-2000,10,0,5,5,我要站上台灣的頂點!
騎腳踏車環島,good,SUMMER,-10,0,0,7,0,3,14,用雙腳去看台灣
今天天氣好像不錯欸,good,SUMMER,10,10,0,0,0,5,1,夜衝不厭亭看星星
走阿去看茶壺,good,SUMMER,-5,7,0,5,0,5,1,爬茶壺山健身摟
陽光、沙灘、比...目魚,good,SUMMER,-10,10,0,10,0,10,2,外木山打沙排
欸要不要吃仙草,good,SUMMER,-5,5,0,0,0,4,1,我想吃仙草龍，走摟來去金山
找房子,normal,SUMMER,0,0,0,0,0,-5,3,下學期要露宿街頭拉QQ
暑修,normal,SUMMER,12,0,-3000,0,0,-10,14,學分不夠ㄌQQ
出國,normal,SUMMER,-3,0,-15000,0,0,8,14,當個背包客，體驗不同的風俗民情
舉辦營隊,normal,SUMMER,10,15,0,7,0,-5,14,培養自己的能力
球隊訓練,normal,SUMMER,-2,10,0,10,0,-5,14,要變強，就要努力
遊學,normal,SUMMER,0,10,-12000,10,0,10,21,出去充實自我
打工換宿,normal,SUMMER,10,0,0,12,0,15,14,到其他地方體驗當地生活
打工,normal,SUMMER,15,0,20000,7,0,-12,28,賺錢錢
上駕訓班,normal,SUMMER,5,0,-10000,10,0,-10,28,考個駕照
抓螃蟹a悲歌,normal,SUMMER,-5,0,0,5,0,-5,1,我只是想要找螃蟹在哪裡怎麼找到海裡來了?
所以我說火球不要亂丟,bad,SUMMER,0,-2,-800,10,0,3,1,KG ball丟太大力打破車子窗戶
早點來就沒事了嘛,bad,SUMMER,20,20,0,15,0,-6,14,籌備迎新宿營缺人手，被抓去幫忙
就閉著眼 以空氣吉他飆速,bad,SUMMER,-5,0,0,5,0,-5,1,彈吉他彈著彈著弦就斷了QAQ
我只是..想玩水...,bad,SUMMER,5,10,0,10,0,-10,4,去海邊游泳，被水母叮
脫皮美白法,bad,SUMMER,5,5,0,5,0,-3,2,打完沙排發現被曬傷了
三寶上路,bad,SUMMER,0,-5,-10000,7,0,-7,3,想要自己練習開車結果撞到別人
救命QAQ,bad,SUMMER,0,7,0,3,0,-2,3,當背包客在國外迷路
欸不是，我要沒地方住了,bad,SUMMER,0,-3,0,0,0,-3,2,找房子遇到難搞的房東
我以為基隆嶼很近...,bad,SUMMER,5,0,0,10,0,-3,5,練習長泳練到虛脫
卑鄙源之助,bad,SUMMER,0,-5,0,0,0,-3,2,去聽覺醒發現毛巾被偷了
請依建議攝取量服用,bad,SUMMER,5,0,-500,0,0,5,4,冰好好吃，吃太多吃到生病
溜冰，好難,bad,SUMMER,3,0,0,3,0,-2,2,溜冰滑倒受傷
